customer_id,week_bucket,month_bucket,activity_id,category,sub_category,channel,owner_type,reason_codes
C005,2024-W01,2024-01,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W02,2024-01,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W03,2024-01,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W04,2024-01,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W05,2024-01,TRU_TRN_001,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W06,2024-02,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W07,2024-02,TRU_TRN_002,Trust & Touchpoints,Transparency Updates,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W08,2024-02,POL_CLM_001,Policy Journey,Claims and Assistance,Portal,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W09,2024-02,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W10,2024-03,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W11,2024-03,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
C005,2024-W12,2024-03,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_CAP|PASS_SCHEDULE
