customer_id,month_bucket,activity_id,category,sub_category,channel,owner_type,reason_codes
C002,2024-03,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-04,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-04,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-05,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-05,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-05,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-05,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-05,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-06,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-06,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-07,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-08,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C002,2024-08,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-01,MAT_POST_001,Maturity,Post-Maturity,Portal,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-02,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-03,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-03,ELL_LWB_001,Everyday Life & Learning,Lifestyle & Well-being,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-03,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-03,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-03,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-04,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-05,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-05,ELL_LWB_001,Everyday Life & Learning,Lifestyle & Well-being,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-05,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-05,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-05,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-06,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,ELL_LWB_001,Everyday Life & Learning,Lifestyle & Well-being,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,GRW_LEG_001,Growth & Review,Legacy Planning,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C003,2024-07,TRU_BTS_001,Trust & Touchpoints,Behind-the-Scenes Stories,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-01,MAT_DAY_002,Maturity,Maturity Date,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-02,ELL_FIN_001,Everyday Life & Learning,Personal Finance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-02,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-03,COM_FEST_001,Community & Connections,Festivals & Celebrations,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-03,ELL_FIN_001,Everyday Life & Learning,Personal Finance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-03,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-03,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-03,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-04,ELL_FIN_001,Everyday Life & Learning,Personal Finance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-04,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,COM_FEST_001,Community & Connections,Festivals & Celebrations,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,ELL_FIN_001,Everyday Life & Learning,Personal Finance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-05,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-06,ELL_FIN_001,Everyday Life & Learning,Personal Finance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-06,POL_CLM_002,Policy Journey,Claims and Assistance,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C004,2024-07,TRU_BTS_002,Trust & Touchpoints,Behind-the-Scenes Stories,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-01,POL_SVC_002,Policy Journey,Servicing Touchpoints,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-02,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-02,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-03,TRU_TRN_001,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-04,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-04,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-05,TRU_TRN_001,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-06,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-06,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,COM_FEST_001,Community & Connections,Festivals & Celebrations,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,ELL_LRN_002,Everyday Life & Learning,Learning Community,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,LOY_BEN_001,"Loyalty, Rewards & Access",Exclusive Benefits,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,POL_CLM_002,Policy Journey,Claims and Assistance,WhatsApp,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
C005,2024-07,TRU_TRN_001,Trust & Touchpoints,Transparency Updates,Email,Digital,PASS_ELIGIBILITY|PASS_MODIFIER|PASS_CAP|PASS_SCHEDULE
